"time","velocity","count"
500,0,4
500,1,8
500,2,24
500,3,30
500,4,43
500,5,36
500,6,46
500,7,43
500,8,43
500,9,30
500,10,31
500,11,30
500,12,40
500,13,25
500,14,19
500,15,14
500,16,7
500,17,7
500,18,9
500,19,7
500,20,1
500,21,1
500,22,1
500,23,0
500,24,0
500,25,1
500,26,0
500,27,0
500,28,0
500,29,0
