"time","velocity","count"
500,0,8
500,1,20
500,2,26
500,3,33
500,4,31
500,5,39
500,6,41
500,7,48
500,8,40
500,9,48
500,10,34
500,11,20
500,12,26
500,13,16
500,14,10
500,15,13
500,16,12
500,17,11
500,18,5
500,19,5
500,20,5
500,21,2
500,22,3
500,23,2
500,24,1
500,25,0
500,26,0
500,27,1
500,28,0
500,29,0
